"Because there are no blood vessels in this layer of skin, nutrition is supplied by a tissue fluid",the epidermis
The opposite of ventral; this term refers to the back region of animals,dorsal
"It's the classification above species, but below family",genus
The system of giving 2 scientific names to all organisms was devised by this Swedish naturalist,(Carl) Linnaeus
3 calves created this way made headlines back in 1988,cloning
"The top 3 inches of an acre of soil may contain billions of nematodes, this type of creature",worm
"Classed as a subphylum of the chordates, they make up about 3 percent of animal species, including mammals",vertebrates
A few hundred million years ago some plants had the bright idea to protect & spread their embryos in these,seeds
"In cell division, mitosis splits the nucleus & cytokinesis splits this liquid cushioning the nucleus",cytoplasm
"This layer of fat helps maintain a whale's body temperature at 93-99 F., & that's nothing to cry over",Blubber
"When you ""make a muscle"" in your arm, you contract this 2-headed muscle",Bicep
"It's secreted by the liver, stored in the gallbladder & released into the duodenum after eating",Bile
It's the branch of biology that specifically studies sometimes harmful one-celled organisms,Bacteriology
"As opposed to spontaneous generation, it's the theory that life originates only from living organisms",Biogenesis
"A mollusk, like an oyster or clam, with a shell consisting of 2 hinged parts",a bivalve
Structure that transports a certain fluid from the liver to the duodenum,the bile duct
"When you identify a bird as Cinclus mexicanus, you're using this system of nomenclature that Linnaeus helped developed",binomial (nomenclature)
" It's the mirror image quality seen in all vertebrates, including you and me",bilateral symmetry
"5-letter word for a large area with particular conditions, like tundra or desert",a biome
The sandhill type of this tall wading bird breeds from Alaska to Hudson Bay,crane
" The quarter inside the balloon continues in a circular motion, because the balloon is imposing this inward force, from the Latin for ""seek the center""",centripetal
"Originally, this unit of measure was the amount of radioactivity given off by one gram of radium",a curie
This type of particle accelerator utilizes a spiraling path,a cyclotron
"The name of this class of mollusks comes from Greek words meaning ""head foot""",cephalopod
"Round, wrinkled, green seed or yellow seed are differences in the 7 traits of these plants Mendel studied",peas
A father contributes an X chromosome to create a daughter & this chromosome to create a son,a Y chromosome
 It's the total number of cells in this yellow egg yolk,1
Oxygen is a waste product of this metabolic process in green plants,photosynthesis
Chitin is the main component in this supportive outside covering of lobsters & insects,the exoskeleton
"In a bird's egg, it's contained within the vitelline membrane",Yolk
"From the Greek for ""green leaf"", it's the green pigment in plants",Chlorophyll
"This French chemist presented his germ theory of fermentation in an 1857 paper, ""On Lactic Fermentation""",Louis Pasteur
It's defined as a change in the hereditary material of an organism's cells,Mutation
"The Drosophilidae family of this insect is used extensively in genetics because of its short, 10-day life cycle",Fruit fly
"The Mesozoic era is known as the Age of these, such as snakes & iguanas today",Reptiles
In 1942 scientists got a much higher yield of this antibiotic from a moldy cantaloupe than with previous ways,Penicillin
The life of these in your body ranges from 3 days in your intestine to a lifetime in your brain,Cells
Your baroreceptors are sensory devices that keep this steady,Blood pressure
The highest level of activity in this organ of your body is in the Fovea Centralis,Eye
"Lungfish breathe by means of primitive lungs, as well as these respiratory organs",Gills
"Like mushrooms, molds belong to this group of organisms that lack chlorophyll",Fungi
An ootid is a cell that matures into this,Egg
Impulses concerned with the sense of smell are transmitted to the brain by these nerves,Olfactory Nerves
It's the term for the tiny projections on the surface of the tongue & at the roots of the hair,Papillae
"Mycology is the branch of biology that studies mushrooms, yeasts, molds, and other types of these",fungi
Fibrogen is a protein material that helps the blood in doing this,clotting
Common term for a female gamete,egg
People usually refer to adipose tissue as this,fat
"In any vertebrate, the occiput is the posterior part of this",the skull
"In humans, this sex chromosome is present only in males",the Y chromosome
Gustatory receptors are special cells that give you your sense of this,taste
"In plants, they're reproductive structures; in humans, light-sensitive structures along with the rods",cones
"The hypothalamus at the base of the brain controls the release of hormones by this ""master gland""",the pituitary gland
One of the subdivisions of biology is this science dealing with the naming & classification of organisms,taxonomy
It's the name of a chemical substance made up of 2 or more elements,a compound
In 1985 Giacobini-Zinner became the first one of these to be intercepted by a spacecraft,a comet
These windstorms spiral clockwise in the Southern Hemisphere & counterclockwise in the Northern,a cyclone
"When boiled, this fibrous protein found in bones & connective tissue dissolves & forms gelatin",collagen
It's the force that holds the molecules of a substance together,cohesion
"The visceral pleura is a thin, tough membrane that covers this pair of organs",the lungs
"In humans, food passes from the pharynx to the stomach via this muscular membranous tube",the esophagus
"Cell division begins in this part of the cell, either by mitosis or by meiosis",the nucleus
" Researchers here at Duke believe that when one lemur of this species meets another, it looks first at the distinctive feature it's named for",the ring-tail
"An amoeba is a 1-celled shapeless mass of this, a term defined in 1839 as the basic material of life",protoplasm
"These are made up of a racus, barbules, barbs & a quill",Feather
Houseflies & tsetse flies are true flies & have this many wings,2
Hemolysis is the release of this protein pigment from blood cells,Hemoglobin
"Coral, horse, oyster & parasol are types of this fungus",Mushrooms
This jelling agent prepared from seaweed is often used to grow microorganisms,Agar
This element used in advertising signs was first separated from other inert gases in 1898,Neon
"He considered the nitroglycerin made by his family unsafe, so he invented dynamite",Alfred Nobel
Edison's 1876 carbon transmitter was invented to improve this device,Telephone
1883 saw the debut of alloy steel & 1884 this first synthetic fiber,Rayon
Around 1850 he absolutely positively came up with the idea for an absolute temperature scale,Lord Kelvin
"For an adult elephant it can be up to 1 1/2"" thick & weigh about a ton yet can be pierced by an insect",the skin
Dizygotic twins are more commonly known by this brotherly name,fraternal twins
The fruit of the dandelion is designed to be dispersed by the wind & the fruit of the coconut by this,the sea (or ocean current)
Euglenas are microscopic organisms scientists classify in both of these groups,animals & plants
They're your smallest blood transport tubes & in some the red cells have to go through single file,capillaries
The umbo is the pointed center & oldest part of this part of a clam,the shell
Cutaneous respiration is an exchange of gases through this part of the body,the skin
Dendrites are projections from this type of cell,the nerve cells
Osmoregulation in the human body is carried out by these organs,the kidneys
These glands secrete oil into your hair follicles,sebaceous (glands)
In reptiles these choppers are conical & uniform; in mammals they have various shapes & sizes,teeth
"3 billion base pairs of DNA, incorporating the code to make a person, is called the human this",genome
"Arginine, one of these acids, is made in the body but not enough for growth--so it's an ""essential"" one only in kids",an amino acid
"Not just something in a car, it's a type of neuron that sends signals to an effector, like a muscle",a motor
"Part of biology, this -ology studies hosted organisms like tapeworms",parasitology
The world's first antibiotic; it was discovered in 1929,Penicillin
"When Lazzaro Spallanzani blinded them, they still flew; when he plugged their ears, they were disoriented",Bats
In this process 8 photons of light break down 2 H2O molecules to yield an O2 molecule,Photosynthesis
"To figure out its structure, Watson & Crick used the scientific equivalent of Tinker Toys",DNA
Similar species are grouped into genera; similar genera into these,Families
The hepatic portal vein connects the intestine to this organ,Liver
It's been proposed that sulfate aerosols from these geological phenomena killed off the dinosaurs,Volcanoes
"The internodes on the stem of a cabbage plant are very short, so these are stacked close together",Leaves
"Night blindness may come from a deficiency in this vitamin, also called retinol",Vitamin A
Filter feeders include flamingos & these whales named for their filters,Baleen whales
Crocodilians are the only reptiles in which this organ has 4 separated chambers,the heart
The armadillo possesses the endo- & exo- types of this support structure,skeleton
"E. coli, one of these found in humans, is often used in genetic studies",a bacteria
A bird's crop is an expanded area of this part of the alimentary canal between the pharynx & stomach,the esophagus
In 1910 Paul Ehrlich announced that Salvarsan was an effective treatment for this disease,syphilis
"Term for one form of a gene that masks a recessive form, or for the leader of a group of animals",Dominant
Bacteria in cattle intestines produce this gas implicated in global warming,Methane
"Some of these pituitary chemicals, like thyrotropin, affect other endocrine glands",Hormones
Organisms that can be cut into 2 mirror images along only one plane have the bilateral type of this property,Symmetry
This term for tissue that takes nutrients through a plant also refers to human blood vessels,Vascular
They're a plant's anchor & can have a fibrous or tap system,Roots
Around 1940 scientists found that mutations in these chromosomal units result in defective enzymes,Genes
"3 kinds of these are sensory, motor & mixed",Nerves
This calcified tissue that surrounds the pulp cavity of a tooth is a bone-like substance,Dentin
"This ""ology"" is concerned with the development of the fertilized egg & the growth of the fetus",Embryology
In 1992 Alexander Wolszczan discovered the first ones of these outside our solar system,planets
"From the Greek for ""twig"", it's a plant or animal made from a portion of another without sex",a clone
"The ""M"" in MASER stands for this; the rest of the acronym is the same as in ""LASER""",microwave
In 1932 this inventor figured out a better way than using Iceland spar to polarize light,Edwin Land
In 1921 it was found that this hormone controlled your carbohydrate metabolism,insulin
Genus Rana; frequent victim of biology class dissections,a frog
L.B.J.'s hound dog or Darwin's ship,the Beagle
The basic unit of life; 3 billion die every minute in your body,cells
It puts the green in greenery,chlorophyll
Deoxyribonucleic acid,DNA
Neurospora crassa is this type of fungus; it grows on bread but in the wild is found on burned vegetation,mold
"Stomata, leaf pores that take in this gas, enlarge hen its level in the air drops below normal",carbon dioxide
"About 25 species of this arachnid, most in the family buthidae, have venom that'll kill you; 1200 others sting like a bee",scorpions
"Linus pauling found the structure of keratin, the main component of nails & this human body part",hair
"To help make sure your brain stays fueled, its cells need less of this hormone for glucose uptake",insulin
"Wurlitzer's pride, or what tissues grouped together form",an organ
Serology is the study of this body fluid closely resembling sea water,blood
"In 1600's, amateur Dutch scientist van Leeuwenhoek discovered bacteria by using this",a microscope
Exobiology is the study of living things here,space
"In genetics, it's what passing of characteristics from Mom & Dad to Junior is called",heredity
"When sexually aroused, the carpenter species of this insect will chase jet liners",bees
The period of time between egg laying & hatching is called this,incubation
"In an apple, it's the ""inside"" name for the pericarp",the core
"Found even in dinosaurs, this world's oldest known disease is still considered incurable",arthritis
"Measles, mumps & rabies are not transmitted by bacteria, but by these",Viruses
Linnaeus only recognized 2 biological kingdoms; everything was either plant or this,Animal
It's composed of the brain & spinal cord in vertebrates; scientists abbreviate it CNS,Central Nervous System
Muscles may connect directly onto bones or connect to them by these,Tendons
A termite's intestinal tract can break down this plant substance; yours can't,Cellulose
This deficiency of hemoglobin is often accompanied by a reduced  number of red blood cells,anemia
"This adjective means ""having a pH factor of more than 7""",alkaline
" If you put a flame up to a balloon it will pop, but if you put water inside the balloon and hold it over a flame it will not pop, because the water does this",absorb (the heat)
"The name of this one-celled protozoan comes from the Greek for ""change""",amoeba
"This type of ""shock"" is usually a severe allergic reaction, as to a bee sting",anaphylactic
"Of all mammals, this one takes longest to mature",Man (humans)
The human body's largest bone,Femur
In 1956 scientists determined a normal human cell has this many chromosomes,46
"Light-sensitive layer of nerve tissue covering the back 2/3 of the eyeball, it's an extension of the brain",Retina
"This Swedish botanist, known for his system of classification, was the first to note that whales are mammals",Carl Linnaeus
"This term for a plant or animal with a marked deficiency of pigmentation comes from the Latin for ""white""",albino
" After five minutes in lemon juice, the coin is shiny because the lemon's this works chemically to remove the oxide",acid
The formula for this hormone is C9H13NO3; can you feel it speeding up your heartbeat?,adrenaline
Focused ultrasound waves are propelling the water here at Ol' Miss's cutting edge NCPA -- National Center for Physical these,Acoustics
"This inert gas is atomic number 18; you should ""naut"" search any further",argon
"Humans belong to the class Mammalia, to the order Primates & to this genus & species",Homo sapiens
They're the reproductive organs in which eggs develop in women,ovaries
"While it's ""small"" in diameter, about 1 1/2 inches, it's 20 to 25 feet long in your body",the small intestine
"From the Greek for ""change"", it's the chemical processes in a body necessary to maintain life; some have slower ones",metabolism
"The ""m"" in ""mRNA"" stands for this",messenger
"Ascomycetes, the largest class in this kingdom, includes edible types like truffles",Fungi
"C4 plants, which photosynthesize molecules having 1 more of these atoms than C3 plants, do better if it's hot & dry",carbon
Familial name for the 2 new cells resulting from cell division,daughter cells
Term for determining the order of nucleotides in a DNA molecule,sequencing
Excess or deficiency of this pituitary hormone leads to gigantism or dwarfism,HGH (human growth hormone)
This outermost skin layer may be five times thicker on the palms & soles than on the rest of the body,Epidermis
Luciferin is a substance found in certain plants & animals that causes them to do this,Glow in the dark
"Metanephros is the medical name for this organ found in birds, reptiles & humans",Kidneys
"The paramecium, a microorganism found in fresh water, moves by means of these tiny, hair-like threads",Cilia
"During fertilization, two of these cells, one each from the male & female, unite to form a zygote",Gametes
"Whether natural or acquired, it's the body's ability to resist certain diseases",an immune system
"A frog's heart has this many chambers, one fewer than a human's",three
"It's no disgrace, it's just the sticky part of the pistil that receives the pollen during pollenation",the stigma
"White blood cells are also known by this medical name, from the Greek for ""white""",leukocytes
This process that occurs in specialized sex cells is also known as reduction division,meiosis
"No kidding, the name of this type of wispy cloud is from the Latin for ""curl""",cirrus
It's another name for a canine tooth,a cuspid
"When I swing a bucket of water, it doesn't spill, because of this force that pulls it in the center and keeps it from following its path of inertia",centripetal force
"The earliest period of the Paleozoic Era, it extends from about 542 to 488 million years ago",Cambrian
"The two streams of water form one, because water molecules are so attracted to each other that when they come near, they stick together, a uniting action known as this",cohesion
Term for an organism that harbors a parasite,host
"Some birds have patella bones, commonly called this in humans",kneecaps
Adjective used to describe your 1st set of teeth & plants that shed their leaves seasonally,deciduous
Oxygenated hemoglobin is this color,red
An animal that's described as heterodont has different kinds of these,Teeth
"The pollex, the first digit on the forelimbs of tetrapods, is known as this body part on you",Thumb
"Birds, reptiles & some mammals have a nectitating membrane, also called a third one of these",Eyelid
Its 2 coiled polynucleotide chains have opposite polarities,DNA (Deoxyribonucleic acid)
During this process the blood's fibrinogen is converted into insoluble fibrin,Clotting
Julius von Sachs found that starch was a product of this process in green plants,photosynthesis
"The name of this 1877 invention is from the Greek for ""sound writing""",phonograph
"Using a piece of Iceland spar, a French physicist polarized this in 1808",light
In 1848 he set absolute zero at -273 degrees C.; it was found later that it is actually -273.16 degrees,Lord Kelvin
In 1815 William Prout hypothesized that this was the fundamental atom & all other atoms were made of it,hydrogen
"Amphibians & fish are described as being poikilothermic, more popularly called this",cold-blooded
The Gutenberg Discontinuity is the boundary that separates the Earth's mantle from this part,the core
"The one named for Max Planck is 6.6260755 X 10 (to the negative 34) joule-second, symbolized simply h",constant
Simple ones are classified as monosaccharides,carbohydrates
"In order to duplicate itself in cell division, one of these splits into 2 identical strands called chromatids",chromosomes
"In 1824 Anglican priest William Buckland wrote a pioneering paper on Megalosaurus, a creature whose name means this",lizard
It's been proposed that sulfate aerosols from these geological phenomena killed off the dinosaurs,volcanoes
"Measles, mumps & rabies are not transmitted by bacteria, but by these",viruses
"Call a cop! You're born with 300 of these, but by the time you grow up you only have 206",bones
Night blindness may come from a deficiency of this vitamin also called retinol,Vitamin A
A fungus gets mighty cozy when it teams up with one of these organisms to live symbiotically as a lichen,an algae
"It's any tissue that contracts & relaxes, causing movement of the limbs & other body parts",Muscle
In 1970 David Baltimore proved that this nucleic acid could transmit information to DNA,RNA (Ribonucleic acid)
"In plants & invertebrates, this outermost layer of protection is usually just one cell thick",Epidermis
It's the process by which an organism or cell takes in oxygen & expels carbon dioxide,Respiration
"Architectural term for the minimal stimulus that starts a nerve impulse, like pain",threshold
"The hypoglossal nerve controls its many movements, including wagging",the tongue
"On land this class of vertebrates can absorb oxygen through the skin, provided it's moist",amphibians
It mitosis 1 cell becomes 2; in meiosis a single cell produce this many daughter cells,4
Protozoans living in a termite's gut break down this substance in the wood the termite eats,cellulose
A healthy red blood cell in your body has about 300 mil. of these oxygen-carrying molecules,hemoglobin
"It's Latin for ""bark"" (like on a tree); the cerebral type is the layer that covers your brain",cortex
This type of cable has insulated conducting material around a separately insulated conducting tube,coaxial
"In an experiment, it's the ""group"" of people not receiving the treatment under study",the control group
"This word, derived from Spanish, refers to the upper part of a turtle's shell",a carapace
This Frenchman showed that the inverse square law applied to the forces between magnetic poles,(Charles Augustin de) Coulomb
The 8 essential types of these acids cannot be produced by the human body & must be obtained from food,amino acids
Revive yourself & give the name of this compound of nitrogen & hydrogen that has been used for refrigeration,ammonia
"Vaulters can use hollow poles to save weight because this center line of a bent pole is neutral, taking little or no stress",the axis
"Either dominant or recessive, they can be different forms of the same gene",alleles
"Probably the most common & best known carnivore of the late Jurassic period, it had a 3-foot-long skull",Allosaurus
"In 1877 American astronomer Asaph Hall discovered Deimos & Phobos, 2 tiny moons of this planet",Mars
Around 1820 it was demonstrated that this element was effective in treating goiter,iodine
He was teaching at the University of Lille when he began his studies of fermentation,(Louis) Pasteur
"Developed in the 1860s & '70s, this first synthetic plastic would soon be used to make toiletries, dentures & film",celluloid
The first skeletons of this early human were discovered in a French cave in 1868,Cro-Magnon
"The 1970s saw the coining of the term ""runner's high"" & the discovery of these opiate proteins that produce it",endorphins
Some of these smallest blood vessels are so tiny that only one blood cell can pass through at a time,capillaries
"It's the rudimentary plant contained within a seed, or a developing human before it's a fetus",embryo
"Important to the human body is the excretory system, which allows the body to get rid of waste largely through this pair of organs",kidneys
"To build tissue, the body needs 20 different ones of these ""protein building blocks"", both ""essential"" & ""nonessential""",amino acids
"Diptera, the order of insects that includes flies & mosquitoes, literally means this",two-winged
